lat,lon,day_of_year,sst,depth,temp
5.06273,90.08721,40,29.402463912963867,1.0,29.493000030517578
5.06273,90.08721,40,29.402463912963867,2.0,29.500999450683594
5.06273,90.08721,40,29.402463912963867,3.0399999618530273,29.5310001373291
5.06273,90.08721,40,29.402463912963867,3.9600000381469727,29.55299949645996
5.06273,90.08721,40,29.402463912963867,5.039999961853027,29.566999435424805
5.06273,90.08721,40,29.402463912963867,6.039999961853027,29.562999725341797
5.06273,90.08721,40,29.402463912963867,7.0,29.56100082397461
5.06273,90.08721,40,29.402463912963867,7.960000038146973,29.562999725341797
5.06273,90.08721,40,29.402463912963867,9.0,29.56599998474121
5.06273,90.08721,40,29.402463912963867,10.039999961853027,29.572999954223633
5.06273,90.08721,40,29.402463912963867,10.800000190734863,29.576000213623047
5.06273,90.08721,40,29.402463912963867,12.0,29.586999893188477
5.06273,90.08721,40,29.402463912963867,13.960000038146973,29.590999603271484
5.06273,90.08721,40,29.402463912963867,15.960000038146973,29.586000442504883
5.06273,90.08721,40,29.402463912963867,17.959999084472656,29.572999954223633
5.06273,90.08721,40,29.402463912963867,20.0,29.554000854492188
5.06273,90.08721,40,29.402463912963867,22.0,29.53700065612793
5.06273,90.08721,40,29.402463912963867,24.040000915527344,29.51799964904785
5.06273,90.08721,40,29.402463912963867,26.040000915527344,29.5
5.06273,90.08721,40,29.402463912963867,28.079999923706055,29.485000610351562
5.06273,90.08721,40,29.402463912963867,30.040000915527344,29.466999053955078
5.06273,90.08721,40,29.402463912963867,32.0,29.451000213623047
5.06273,90.08721,40,29.402463912963867,34.040000915527344,29.44700050354004
5.06273,90.08721,40,29.402463912963867,36.040000915527344,29.44099998474121
5.06273,90.08721,40,29.402463912963867,38.0,29.43199920654297
5.06273,90.08721,40,29.402463912963867,40.0,29.41900062561035
5.06273,90.08721,40,29.402463912963867,41.959999084472656,29.391000747680664
5.06273,90.08721,40,29.402463912963867,44.0,29.332000732421875
5.06273,90.08721,40,29.402463912963867,45.959999084472656,29.270999908447266
5.06273,90.08721,40,29.402463912963867,47.91999816894531,29.226999282836914
5.06273,90.08721,40,29.402463912963867,49.959999084472656,29.14900016784668
5.06273,90.08721,40,29.402463912963867,52.0,28.9950008392334
5.06273,90.08721,40,29.402463912963867,54.040000915527344,28.908000946044922
5.06273,90.08721,40,29.402463912963867,56.040000915527344,28.836999893188477
5.06273,90.08721,40,29.402463912963867,58.0,28.7450008392334
5.06273,90.08721,40,29.402463912963867,60.0,28.6200008392334
5.06273,90.08721,40,29.402463912963867,62.0,28.347000122070312
5.06273,90.08721,40,29.402463912963867,64.0,27.88599967956543
5.06273,90.08721,40,29.402463912963867,66.0,27.40999984741211
5.06273,90.08721,40,29.402463912963867,68.04000091552734,27.121000289916992
5.06273,90.08721,40,29.402463912963867,70.04000091552734,26.799999237060547
5.06273,90.08721,40,29.402463912963867,72.0,26.334999084472656
5.06273,90.08721,40,29.402463912963867,74.0,26.069000244140625
5.06273,90.08721,40,29.402463912963867,76.0,26.003000259399414
5.06273,90.08721,40,29.402463912963867,78.0,25.875
5.06273,90.08721,40,29.402463912963867,80.0,25.150999069213867
5.06273,90.08721,40,29.402463912963867,82.0,24.16699981689453
5.06273,90.08721,40,29.402463912963867,84.0,23.530000686645508
5.06273,90.08721,40,29.402463912963867,86.04000091552734,23.243999481201172
5.06273,90.08721,40,29.402463912963867,88.04000091552734,23.003999710083008
5.06273,90.08721,40,29.402463912963867,90.04000091552734,21.8700008392334
5.06273,90.08721,40,29.402463912963867,92.04000091552734,21.6299991607666
5.06273,90.08721,40,29.402463912963867,94.04000091552734,21.621000289916992
5.06273,90.08721,40,29.402463912963867,96.04000091552734,21.599000930786133
5.06273,90.08721,40,29.402463912963867,98.0,21.48200035095215
5.06273,90.08721,40,29.402463912963867,100.0,21.07699966430664
5.06273,90.08721,40,29.402463912963867,102.0,20.562000274658203
5.06273,90.08721,40,29.402463912963867,103.95999908447266,20.099000930786133
5.06273,90.08721,40,29.402463912963867,106.0,19.58799934387207
5.06273,90.08721,40,29.402463912963867,108.04000091552734,19.452999114990234
5.06273,90.08721,40,29.402463912963867,109.95999908447266,19.30299949645996
5.06273,90.08721,40,29.402463912963867,111.95999908447266,19.174999237060547
5.06273,90.08721,40,29.402463912963867,114.04000091552734,19.091999053955078
5.06273,90.08721,40,29.402463912963867,116.0,19.05900001525879
5.06273,90.08721,40,29.402463912963867,118.0,18.993999481201172
5.06273,90.08721,40,29.402463912963867,120.0,18.788999557495117
5.06273,90.08721,40,29.402463912963867,122.0,18.195999145507812
5.06273,90.08721,40,29.402463912963867,124.0,17.86400032043457
5.06273,90.08721,40,29.402463912963867,126.04000091552734,17.735000610351562
5.06273,90.08721,40,29.402463912963867,128.0,17.281999588012695
5.06273,90.08721,40,29.402463912963867,129.9600067138672,17.010000228881836
5.06273,90.08721,40,29.402463912963867,131.9600067138672,16.83799934387207
5.06273,90.08721,40,29.402463912963867,133.9600067138672,16.80299949645996
5.06273,90.08721,40,29.402463912963867,135.9600067138672,16.7450008392334
5.06273,90.08721,40,29.402463912963867,138.0,16.576000213623047
5.06273,90.08721,40,29.402463912963867,140.0399932861328,16.447999954223633
5.06273,90.08721,40,29.402463912963867,142.0,16.30900001525879
5.06273,90.08721,40,29.402463912963867,144.0,16.20599937438965
5.06273,90.08721,40,29.402463912963867,146.0,16.066999435424805
5.06273,90.08721,40,29.402463912963867,147.9600067138672,15.890000343322754
5.06273,90.08721,40,29.402463912963867,150.0,15.692999839782715
5.06273,90.08721,40,29.402463912963867,151.9600067138672,15.607999801635742
5.06273,90.08721,40,29.402463912963867,153.9199981689453,15.51099967956543
5.06273,90.08721,40,29.402463912963867,156.0,15.361000061035156
5.06273,90.08721,40,29.402463912963867,158.0399932861328,15.324999809265137
5.06273,90.08721,40,29.402463912963867,160.0399932861328,15.293000221252441
5.06273,90.08721,40,29.402463912963867,162.0,15.20199966430664
5.06273,90.08721,40,29.402463912963867,163.9600067138672,15.043999671936035
5.06273,90.08721,40,29.402463912963867,166.0,14.930000305175781
5.06273,90.08721,40,29.402463912963867,168.0399932861328,14.732000350952148
5.06273,90.08721,40,29.402463912963867,169.9600067138672,14.625
5.06273,90.08721,40,29.402463912963867,171.9600067138672,14.482000350952148
5.06273,90.08721,40,29.402463912963867,173.9600067138672,14.437999725341797
5.06273,90.08721,40,29.402463912963867,175.9600067138672,14.392999649047852
5.06273,90.08721,40,29.402463912963867,178.0,14.246000289916992
5.06273,90.08721,40,29.402463912963867,180.0,14.13599967956543
5.06273,90.08721,40,29.402463912963867,182.0,14.065999984741211
5.06273,90.08721,40,29.402463912963867,184.0,13.949000358581543
5.06273,90.08721,40,29.402463912963867,186.0,13.897000312805176
5.06273,90.08721,40,29.402463912963867,187.9600067138672,13.861000061035156
5.06273,90.08721,40,29.402463912963867,190.0,13.82699966430664
5.06273,90.08721,40,29.402463912963867,192.0399932861328,13.836000442504883
5.06273,90.08721,40,29.402463912963867,194.0,13.920000076293945
5.06273,90.08721,40,29.402463912963867,196.0,13.92199993133545
5.06273,90.08721,40,29.402463912963867,197.9600067138672,13.914999961853027
5.06273,90.08721,40,29.402463912963867,199.9600067138672,13.866000175476074
5.06273,90.08721,40,29.402463912963867,201.9600067138672,13.847000122070312
5.06273,90.08721,40,29.402463912963867,204.0,13.76200008392334
5.06273,90.08721,40,29.402463912963867,206.0399932861328,13.6899995803833
5.06273,90.08721,40,29.402463912963867,208.0399932861328,13.642999649047852
5.06273,90.08721,40,29.402463912963867,210.0399932861328,13.595000267028809
5.06273,90.08721,40,29.402463912963867,212.0399932861328,13.531000137329102
5.06273,90.08721,40,29.402463912963867,214.0399932861328,13.413999557495117
5.06273,90.08721,40,29.402463912963867,216.0,13.333999633789062
5.06273,90.08721,40,29.402463912963867,217.9600067138672,13.291000366210938
5.06273,90.08721,40,29.402463912963867,220.0399932861328,13.232999801635742
5.06273,90.08721,40,29.402463912963867,222.0,13.1850004196167
5.06273,90.08721,40,29.402463912963867,223.9600067138672,13.14900016784668
5.06273,90.08721,40,29.402463912963867,226.0,13.12600040435791
5.06273,90.08721,40,29.402463912963867,228.0399932861328,13.086999893188477
5.06273,90.08721,40,29.402463912963867,230.0399932861328,12.984999656677246
5.06273,90.08721,40,29.402463912963867,232.0399932861328,12.920999526977539
5.06273,90.08721,40,29.402463912963867,234.0,12.904000282287598
5.06273,90.08721,40,29.402463912963867,235.9199981689453,12.880000114440918
5.06273,90.08721,40,29.402463912963867,237.9199981689453,12.85099983215332
5.06273,90.08721,40,29.402463912963867,239.9600067138672,12.82699966430664
5.06273,90.08721,40,29.402463912963867,242.0,12.795000076293945
5.06273,90.08721,40,29.402463912963867,244.0,12.767999649047852
5.06273,90.08721,40,29.402463912963867,246.0399932861328,12.746000289916992
5.06273,90.08721,40,29.402463912963867,248.0,12.704000473022461
5.06273,90.08721,40,29.402463912963867,250.0,12.694000244140625
5.06273,90.08721,40,29.402463912963867,251.9600067138672,12.67300033569336
5.06273,90.08721,40,29.402463912963867,253.9199981689453,12.663000106811523
5.06273,90.08721,40,29.402463912963867,255.9600067138672,12.656999588012695
5.06273,90.08721,40,29.402463912963867,258.0400085449219,12.652999877929688
5.06273,90.08721,40,29.402463912963867,260.0,12.62600040435791
5.06273,90.08721,40,29.402463912963867,261.9599914550781,12.612000465393066
5.06273,90.08721,40,29.402463912963867,264.0,12.57800006866455
5.06273,90.08721,40,29.402463912963867,266.0400085449219,12.562999725341797
5.06273,90.08721,40,29.402463912963867,268.0400085449219,12.553000450134277
5.06273,90.08721,40,29.402463912963867,270.0400085449219,12.550000190734863
5.06273,90.08721,40,29.402463912963867,272.0400085449219,12.538000106811523
5.06273,90.08721,40,29.402463912963867,274.0400085449219,12.508999824523926
5.06273,90.08721,40,29.402463912963867,276.0400085449219,12.491999626159668
5.06273,90.08721,40,29.402463912963867,278.0400085449219,12.48799991607666
5.06273,90.08721,40,29.402463912963867,280.0400085449219,12.472999572753906
5.06273,90.08721,40,29.402463912963867,282.0,12.437999725341797
5.06273,90.08721,40,29.402463912963867,284.0,12.416000366210938
5.06273,90.08721,40,29.402463912963867,286.0,12.387999534606934
5.06273,90.08721,40,29.402463912963867,288.0400085449219,12.369999885559082
5.06273,90.08721,40,29.402463912963867,290.0400085449219,12.33899974822998
5.06273,90.08721,40,29.402463912963867,292.0400085449219,12.310999870300293
5.06273,90.08721,40,29.402463912963867,293.9599914550781,12.279999732971191
5.06273,90.08721,40,29.402463912963867,296.0,12.244999885559082
5.06273,90.08721,40,29.402463912963867,298.0,12.194000244140625
5.06273,90.08721,40,29.402463912963867,299.9599914550781,12.109000205993652
5.06273,90.08721,40,29.402463912963867,302.0,12.062000274658203
5.06273,90.08721,40,29.402463912963867,304.0,12.027999877929688
5.06273,90.08721,40,29.402463912963867,305.9599914550781,11.956999778747559
5.06273,90.08721,40,29.402463912963867,308.0400085449219,11.932999610900879
5.06273,90.08721,40,29.402463912963867,310.0,11.904000282287598
5.06273,90.08721,40,29.402463912963867,311.9599914550781,11.895999908447266
5.06273,90.08721,40,29.402463912963867,314.0,11.87399959564209
5.06273,90.08721,40,29.402463912963867,316.0400085449219,11.836000442504883
5.06273,90.08721,40,29.402463912963867,318.0,11.800999641418457
5.06273,90.08721,40,29.402463912963867,319.9599914550781,11.807999610900879
5.06273,90.08721,40,29.402463912963867,322.0,11.79699993133545
5.06273,90.08721,40,29.402463912963867,324.0400085449219,11.779000282287598
5.06273,90.08721,40,29.402463912963867,326.0,11.739999771118164
5.06273,90.08721,40,29.402463912963867,328.0,11.746000289916992
5.06273,90.08721,40,29.402463912963867,330.0,11.715999603271484
5.06273,90.08721,40,29.402463912963867,332.0400085449219,11.70199966430664
5.06273,90.08721,40,29.402463912963867,334.0,11.666000366210938
5.06273,90.08721,40,29.402463912963867,335.9200134277344,11.640999794006348
5.06273,90.08721,40,29.402463912963867,337.9599914550781,11.621000289916992
5.06273,90.08721,40,29.402463912963867,340.0400085449219,11.571000099182129
5.06273,90.08721,40,29.402463912963867,342.0,11.538000106811523
5.06273,90.08721,40,29.402463912963867,344.0,11.52299976348877
5.06273,90.08721,40,29.402463912963867,346.0400085449219,11.491000175476074
5.06273,90.08721,40,29.402463912963867,348.0400085449219,11.458000183105469
5.06273,90.08721,40,29.402463912963867,350.0400085449219,11.430000305175781
5.06273,90.08721,40,29.402463912963867,352.0400085449219,11.373000144958496
5.06273,90.08721,40,29.402463912963867,353.9599914550781,11.331000328063965
5.06273,90.08721,40,29.402463912963867,356.0,11.312999725341797
5.06273,90.08721,40,29.402463912963867,358.0,11.295000076293945
5.06273,90.08721,40,29.402463912963867,360.0,11.258999824523926
5.06273,90.08721,40,29.402463912963867,362.0400085449219,11.220000267028809
5.06273,90.08721,40,29.402463912963867,363.9599914550781,11.201000213623047
5.06273,90.08721,40,29.402463912963867,365.9599914550781,11.163000106811523
5.06273,90.08721,40,29.402463912963867,368.0,11.107000350952148
5.06273,90.08721,40,29.402463912963867,369.9599914550781,11.057999610900879
5.06273,90.08721,40,29.402463912963867,371.9200134277344,11.041999816894531
5.06273,90.08721,40,29.402463912963867,374.0,11.031000137329102
5.06273,90.08721,40,29.402463912963867,376.0400085449219,11.017000198364258
